stadtteil,stadtteil_name,total_pop,migration_bg,turkish_migration_bg,naturalized_cits,non_nationals,social_eligible,unemployment
101,Altstadt-Süd,27982,9531,1329,2997,5393,1893,1055
102,Neustadt-Süd,38100,11161,1235,4042,5817,1821,1273
103,Altstadt-Nord,18322,6928,785,1932,4258,1053,584
104,Neustadt-Nord,28632,8500,948,3080,4451,1054,738
105,Deutz,15516,5261,638,1708,2730,1063,511
201,Bayenthal,10426,3744,389,1184,1644,459,245
202,Marienburg,7258,2794,304,1068,1232,462,184
203,Raderberg,6694,2585,534,870,1091,652,250
204,Raderthal,4869,1350,162,515,545,316,153
205,Zollstock,23340,7771,1268,2889,3364,1606,812
206,Rondorf,9357,3014,355,1001,1408,565,229
207,Hahnwald,2066,566,26,224,249,12,15
208,Rodenkirchen,17310,4768,355,1680,2827,904,343
209,Weiß,5907,1355,130,490,555,286,129
210,Sürth,10920,3051,307,1193,1045,410,224
211,Godorf,2729,1324,163,328,691,350,110
212,Immendorf,2062,791,117,238,278,209,68
213,Meschenich,8024,5281,1168,1017,3425,1941,591
301,Klettenberg,10572,2131,200,913,803,324,218
302,Sülz,36763,8128,480,3069,3567,1089,839
303,Lindenthal,30692,7131,379,2784,3062,541,498
304,Braunsfeld,12237,3066,172,1172,1482,405,241
305,Müngersdorf,8889,3042,323,975,1506,550,232
306,Junkersdorf,15399,4079,222,1613,1688,476,267
307,Weiden,17453,7008,551,2661,3035,1428,556
308,Lövenich,9186,2259,167,933,870,275,149
309,Widdersdorf,12453,4407,817,1848,1330,383,201
401,Ehrenfeld,38406,13985,3028,4529,7562,3152,1702
402,Neuehrenfeld,24226,7615,1476,2559,3971,1828,866
403,Bickendorf,16558,7743,2405,2527,3779,2572,949
404,Vogelsang,8247,2605,611,953,1096,722,290
405,Bocklemünd/Mengenich,10734,5334,1419,1462,2643,2248,695
406,Ossendorf,11917,5828,1674,2243,2365,1402,514
501,Nippes,36725,11494,2662,4002,6002,1918,1047
502,Mauenheim,5668,2005,545,678,979,421,173
503,Riehl,11831,3807,799,1362,2028,643,276
504,Niehl,20125,9477,3487,3065,4710,2100,823
505,Weidenpesch,13844,5616,1729,1767,2882,1385,570
506,Longerich,13821,4705,1091,1595,2000,1052,364
507,Bilderstöckchen,15696,8774,3296,2866,4495,2628,902
601,Merkenich,5865,2064,560,677,852,305,135
602,Fühlingen,2093,603,78,183,133,37,35
603,Seeberg,11129,8081,2714,2444,3943,2571,689
604,Heimersdorf,6209,2151,546,835,649,353,142
605,Lindweiler,3484,1669,531,571,593,572,199
606,Pesch,7754,2741,636,971,882,402,166
607,Esch/Auweiler,6986,2263,498,871,704,368,159
608,Volkhoven/Weiler,5997,3715,1275,1372,1219,818,278
609,Chorweiler,12882,10492,2725,2903,5325,4253,1128
610,Blumenberg,5296,3689,1179,1432,1154,416,194
611,Roggendorf/Thenhoven,4539,2089,336,698,860,816,239
612,Worringen,10230,3432,591,950,1587,1146,414
701,Poll,11268,3868,504,1247,1665,997,428
702,Westhoven,5597,2004,176,716,687,331,185
703,Ensen,7706,3228,456,1098,1341,768,251
704,Gremberghoven,3068,2260,739,558,1346,781,263
705,Eil,9272,4494,989,1533,1714,1372,460
706,Porz,15023,8377,1540,2949,3399,2160,774
707,Urbach,13005,6515,1092,2316,2280,1819,614
708,Elsdorf,1714,689,117,255,205,84,38
709,Grengel,5569,2523,483,843,989,667,245
710,Wahnheide,7878,3113,404,890,1343,955,358
711,Wahn,7223,3129,517,1104,1234,879,275
712,Lind,3613,1343,153,346,534,367,141
713,Libur,1119,245,17,92,64,30,20
714,Zündorf,11696,4005,587,1541,1378,968,375
715,Langel,3501,808,63,269,259,192,82
716,Finkenberg,6824,5808,610,1554,3302,2502,620
801,Humboldt/Gremberg,15109,9103,2226,2625,5104,3064,1133
802,Kalk,24128,15293,3696,4180,9305,5872,2164
803,Vingst,12915,8524,3030,2646,4180,3282,1078
804,Höhenberg,12576,7507,2305,1992,4386,2586,953
805,Ostheim,13994,9132,2403,3002,4181,3420,1072
806,Merheim,11207,5633,1220,2058,2191,1152,434
807,Brück,10258,2733,366,988,1132,695,281
808,Rath/Heumar,11776,3211,430,1117,1130,540,312
809,Neubrück,9044,5969,1041,1842,2529,1989,573
901,Mülheim,42634,23397,6598,6263,13953,8699,3143
902,Buchforst,7456,4342,1243,1408,2226,1556,558
903,Buchheim,12795,7316,2482,2347,3557,2551,851
904,Holweide,20959,9351,2460,3139,4050,3153,1162
905,Dellbrück,21905,5465,695,1834,2300,1592,680
906,Höhenhaus,15744,5773,1590,1897,2453,2058,708
907,Dünnwald,11619,4581,1259,1417,1865,1983,620
908,Stammheim,8358,4026,1010,1107,1329,1045,379
909,Flittard,8067,2885,797,867,1150,1113,381